run,time,timesteps,X:VCD,X:Glc,X:Lac,X:Titer,F:Glc
18,14,14.0,0.7437040795279026,1.50321019565108e-08,159.73537414757294,827.131333199174,0.0
19,0,0.0,0.8255102040816327,77.85714285714286,0.0,0.0,0.0
19,1,1.0,2.5652700573409954,76.37024554883087,2.231792148960206,0.0982774718630308,0.0
19,2,2.0,6.585087208449084,72.18791277281011,8.509515354077317,2.9640671138516077,17.704081632653065
19,3,3.0,12.085841982529498,76.38997609907705,21.99823537718915,29.49291252873718,17.704081632653065
19,4,4.0,14.959728884607916,80.77719685708087,41.98618981253689,118.41443511710264,17.704081632653065
19,5,5.0,13.770217401327978,84.43172013423055,63.07330467265178,260.39748998397897,17.704081632653065
19,6,6.0,10.425172277466578,90.44801295960208,80.61506392152083,405.3691501460108,17.704081632653065
19,7,7.0,6.90816048850814,99.87830192941998,93.03232059672617,519.243651659709,17.704081632653065
19,8,8.0,4.214671202219035,112.32596108397128,100.92069974373877,595.6397918986712,17.704081632653065
19,9,9.0,2.4647244287051326,126.89262772461947,105.62880500133566,642.5890861011718,0.0
19,10,10.0,1.4133522049635796,132.6633476453041,108.35403402104632,670.2014699737713,0.0
19,11,11.0,0.8032139906714557,131.62664907933848,109.90966974406328,686.0986111977426,0.0
19,12,12.0,0.4542552441170608,131.0389285536558,110.79158614358174,695.1535185578135,0.0
19,13,13.0,0.2562129935175191,130.70701195404837,111.28965130927718,700.2807784384723,0.0
19,14,14.0,0.1442923240083599,130.5199414174624,111.57036451154173,703.1747638777586,0.0
20,0,0.0,0.6785714285714286,37.85714285714286,0.0,0.0,0.0
20,1,1.0,2.1043625243445305,36.64045005548143,1.8274892183336493,0.096543133328926,0.0
20,2,2.0,5.637694604846371,33.14212660430171,7.082500472881239,2.183964813122781,18.316326530612244
20,3,3.0,11.463277877267812,39.821801899631225,19.22804254532524,22.857004328628367,18.316326530612244
20,4,4.0,16.721218746432406,44.426389111034055,39.81976314831935,108.40555523432349,18.316326530612244
20,5,5.0,18.659511588474317,45.48826537249568,65.73012011743617,283.25548541401645,18.316326530612244
20,6,6.0,17.559377254979236,46.25359597875128,92.08536982347428,511.9220851697445,18.316326530612244
20,7,7.0,14.878604175444416,48.942849249904015,115.5507411719578,744.9229582381107,18.316326530612244
20,8,8.0,11.713262976464614,54.49678721807332,134.71297998891413,950.5102594071108,18.316326530612244
20,9,9.0,8.576373985045151,63.09365659551101,149.30468667773644,1114.6031111767245,0.0
20,10,10.0,5.695867421532996,68.62671498648639,159.51464401476474,1232.8204638593618,0.0
20,11,11.0,3.7769412060236167,64.15729889405277,166.2238189773082,1311.8030225601826,0.0
20,12,12.0,2.5621479759605683,61.158671904445455,170.72534942268427,1365.3100104676664,0.0
20,13,13.0,1.7600678297617145,59.11134522492226,173.79889310618046,1402.0673256467828,0.0
20,14,14.0,1.2178732716357723,57.69973114768724,175.91812700229636,1427.5135798229862,0.0
21,0,0.0,0.2377551020408163,12.142857142857142,0.0,0.0,0.0
21,1,1.0,0.7107739396107344,11.728811614120731,0.6236702590758352,0.0725621984430724,0.0
21,2,2.0,2.006488953155394,10.526708362164216,2.434935116572997,0.5249715962026786,5.153061224489796
21,3,3.0,4.987199174549037,11.823936065014282,7.21465435914048,3.7485044678339214,5.153061224489796
21,4,4.0,9.837366280643243,9.9867093848681,17.747055375384917,23.666942508621,5.153061224489796
21,5,5.0,14.117054500398568,3.527650964470791,35.30249939434524,96.49682473296144,5.153061224489796
21,6,6.0,12.181218845613987,0.039110693380992,55.09896084345597,147.36563262517976,5.153061224489796
21,7,7.0,8.891172295698944,0.0740686524226638,70.18088951319118,159.52813064573155,5.153061224489796
21,8,8.0,6.420147977586138,0.1970634008058259,81.10235830925895,177.42728157370402,0.0
21,9,9.0,4.515881438570136,1.001514491359942e-09,88.96331525060634,188.20107308924824,0.0
21,10,10.0,3.061594208041296,-3.1865692491408715e-08,94.354772417401,188.201074552846,0.0
21,11,11.0,2.0622407350911995,-2.5465103928877436e-08,97.99822141689197,188.20107522676395,0.0
21,12,12.0,1.3833495331343546,-1.502671282941008e-08,100.44727649756078,188.2010749844633,0.0
21,13,13.0,0.9254625686110528,4.070989373425728e-09,102.08787962557354,188.20107496105248,0.0
21,14,14.0,0.6180513090924857,9.748922548975324e-09,103.18447471820583,188.20107492458789,0.0
22,0,0.0,0.9540816326530612,49.285714285714285,0.0,0.0,0.0
22,1,1.0,2.935197745587563,47.57766839110062,2.564714150627705,0.1712002535838457,0.0
22,2,2.0,7.443829782324162,42.827342222131264,9.698092413437026,4.409447434271593,19.54081632653061
22,3,3.0,13.698281664815346,40.07947859315886,24.90551798782273,40.2117189437954,19.54081632653061
22,4,4.0,18.118923409828184,44.09101643726781,48.226838785509926,158.02616447802944,19.54081632653061
22,5,5.0,18.885462716818623,45.61465407086163,75.28269339628974,361.029030061844,19.54081632653061
22,6,6.0,16.996022232828437,47.8032929787627,101.33892986734097,600.7603164943968,19.54081632653061
22,7,7.0,13.922100232404588,52.46926448070904,123.67360962804732,830.3915537266499,19.54081632653061
22,8,8.0,10.55632862278994,60.267139976300406,141.30379552779308,1023.7664571000388,0.0
22,9,9.0,7.547981868224557,57.2516319994029,154.2133703339403,1170.958272510988,0.0
22,10,10.0,5.481725257587315,51.06156420990074,163.50705384406473,1279.2938283038427,0.0
22,11,11.0,4.00456745358395,46.55059000488978,170.2804520817478,1359.3460306417771,0.0
22,12,12.0,2.926617538483164,43.25408182352769,175.23072296416083,1418.3797545476075,0.0
22,13,13.0,2.136216277143064,40.84636397450684,178.84659527813392,1461.7602937283757,0.0
22,14,14.0,1.5569290531052395,39.0902725509931,181.4840282310797,1493.5318561054369,0.0
23,0,0.0,0.7520408163265306,15.0,0.0,0.0,0.0
23,1,1.0,2.2226829147765503,13.691182507873563,1.970073616781289,0.2845927683193138,9.744897959183676
23,2,2.0,5.634615901638386,13.603031166606009,7.343763333863976,3.5772585046908385,9.744897959183676
23,3,3.0,11.083980847810215,15.443825686584898,19.23932086103616,26.350106986511108,9.744897959183676
23,4,4.0,15.947030934009442,12.07506124525969,38.980189461996254,110.56427187414636,9.744897959183676
